iter	RMSE
0	14.88441267
1	14.79997453
2	14.70479859
3	14.61017557
4	14.51656943
5	14.43730439
6	14.34947627
7	14.26354918
8	14.17835789
9	14.0827937
10	13.98946904
11	13.90409356
12	13.82101634
13	13.73640023
14	13.65370034
15	13.57886889
16	13.48939341
17	13.40774804
18	13.32549331
19	13.24458544
20	13.16701601
21	13.09228294
22	13.00747255
23	12.9261372
24	12.84917832
25	12.77519269
26	12.69956637
27	12.62612927
28	12.55147951
29	12.48265186
30	12.41032536
31	12.33763283
32	12.26808133
33	12.19654318
34	12.1255214
35	12.05814841
36	11.98926213
37	11.92448401
38	11.85130615
39	11.78011572
40	11.71175589
41	11.64625109
42	11.5786798
43	11.52198977
44	11.45804937
45	11.39863225
46	11.33723462
47	11.28023576
48	11.22285936
49	11.16392361
